rep	prog	colheita	prod
1	1	1	4,3
1	2	1	13,2
1	3	1	1,59
1	4	1	2,76
1	5	1	11,38
1	6	1	5,69
1	7	1	9,8
1	8	1	7
1	9	1	11,7
1	10	1	9,6
2	1	1	3,65
2	2	1	9,11
2	3	1	5,35
2	4	1	4,34
2	5	1	8,52
2	6	1	4,07
2	7	1	3,54
2	8	1	4,12
2	9	1	12,56
2	10	1	14,87
3	1	1	6,18
3	2	1	10,48
3	3	1	3,38
3	4	1	2,22
3	5	1	8,96
3	6	1	6,55
3	7	1	12,37
3	8	1	14,32
3	9	1	13,36
3	10	1	18,82
4	1	1	9,76
4	2	1	9,1
4	3	1	11,64
4	4	1	8,04
4	5	1	5,45
4	6	1	8,88
4	7	1	6,58
4	8	1	7,44
4	9	1	17,05
4	10	1	14,08
1	1	2	7,62
1	2	2	7,7
1	3	2	3,36
1	4	2	10,29
1	5	2	8,87
1	6	2	7,15
1	7	2	6,35
1	8	2	11,88
1	9	2	4,49
1	10	2	3,73
2	1	2	9,36
2	2	2	6,36
2	3	2	7,02
2	4	2	11,38
2	5	2	11,65
2	6	2	4,54
2	7	2	2,54
2	8	2	8,29
2	9	2	7,91
2	10	2	2,54
3	1	2	7,86
3	2	2	3,88
3	3	2	5,47
3	4	2	7,65
3	5	2	5,41
3	6	2	7,71
3	7	2	11,12
3	8	2	5,95
3	9	2	5,36
3	10	2	3,73
4	1	2	10,7
4	2	2	9,36
4	3	2	8,31
4	4	2	11,4
4	5	2	5,26
4	6	2	9,91
4	7	2	7,41
4	8	2	10,08
4	9	2	5,12
4	10	2	2,54
1	1	3	3,11
1	2	3	13,42
1	3	3	2,59
1	4	3	4,76
1	5	3	12,23
1	6	3	4,16
1	7	3	11,14
1	8	3	10,4
1	9	3	8,44
1	10	3	10,39
2	1	3	5,81
2	2	3	7,8
2	3	3	7,48
2	4	3	13,19
2	5	3	5,75
2	6	3	4,93
2	7	3	4,41
2	8	3	8,42
2	9	3	10,62
2	10	3	14,32
3	1	3	4,34
3	2	3	7,82
3	3	3	3,11
3	4	3	8,07
3	5	3	5,84
3	6	3	5,5
3	7	3	14,27
3	8	3	15,84
3	9	3	9,02
3	10	3	16,14
4	1	3	6,88
4	2	3	5,58
4	3	3	8,98
4	4	3	6,77
4	5	3	10,22
4	6	3	4,7
4	7	3	6,52
4	8	3	11,14
4	9	3	18,91
4	10	3	12,34
